'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2020,'M1',0.1,14079.923249998286,30026.011999998445,30491.582499997872,8848.387499999832,55600.12949999626,14368.741999998196,12332.756999999328,46042.27024999627,25370.706749997582,21496.191999998464,23098.92224999904,25498.381749998425,13580.054499999811,45773.977499993605,144186.65874999145,128106.74149998673,320834.0612500488
2020,'M1',0.2,14071.992749998266,29556.04599999848,30233.719999997895,8878.125749999828,55232.77499999628,14197.783749998185,12305.812749999339,45939.746249996235,25394.92049999758,21547.022249998467,23115.44224999904,25477.133749998422,13627.662999999808,45635.536499993636,143004.6937499915,128185.13174998671,319578.1840000498
2020,'M1',1.0,14073.718999998275,29594.660249998506,30415.793749997836,8882.634249999826,55739.66849999625,14291.595999998184,12298.153749999314,46101.26424999623,25273.841249997582,21574.818999998428,23108.85249999905,25476.70624999842,13627.047499999808,45681.922249993615,144176.25549999144,127917.06399998676,320458.7562500489
2020,'M1',0.5,14033.054499998298,29600.610499998485,30504.33624999784,8930.519249999816,55951.57274999624,14232.73724999819,12312.440499999322,46052.796999996215,25383.249499997593,21607.892249998433,23094.161249999044,25506.32899999843,13599.00899999981,45703.12074999366,144204.96374999144,128113.1487499867,320808.7090000494
2030,'M1',1.0,14413.382499998203,43157.850499997265,34669.24324999735,9038.540249999802,78417.30074999438,14388.580749998202,12473.205999999342,50829.8454999948,26700.554499997546,25747.97824999811,23233.708999999053,25759.33549999843,13676.716249999816,46216.4559999935,186873.89599999026,136274.9469999858,372506.24300005456
2030,'M1',0.5,14370.542499998219,43254.656749997266,34688.13074999735,9003.239749999808,78308.44549999438,14380.676999998204,12491.503999999344,50836.06574999479,26679.851249997566,25739.93124999811,23190.955999999067,25793.81799999843,13652.068999999816,46123.45874999357,186988.69674999025,136143.71874998583,372389.88750005444
2030,'M1',0.1,14427.119999998196,34701.601950002965,31830.259799999443,8663.1880499999,69876.24040000128,14427.644999998212,10949.560149999443,47314.34695000087,25706.487049999243,23400.75524999939,22358.444899999737,20906.20530000131,12481.283300000787,46202.88824999351,168529.3745999878,119172.7035499955,337043.13809998945
2030,'M1',0.2,14395.911499998208,39666.948650000304,34643.97449999736,9031.576999999814,75398.71604999636,14373.411499998201,12509.031999999326,50930.02324999477,26714.843149997556,25682.54849999812,23279.245749999027,25758.399249998434,13679.729999999816,46207.15249999351,181545.8654999905,135156.53759998706,366064.36110016913
2040,'M1',1.0,14343.679249998251,43257.457249997315,34835.398499997355,9051.914999999804,79151.14924999434,14394.138499998202,12531.055749999357,52415.97999999409,26941.56899999754,24984.119249998173,23265.818749999034,25814.826249998427,13689.732999999818,46111.18824999366,188634.17749999036,136818.25299998582,374676.83975004783
2040,'M1',0.2,14326.719249998254,22245.25589713392,33696.938749997724,8922.87274999981,60610.55323945844,14373.3522499982,11773.773999999403,49794.51129999872,26640.70883456242,23560.270899998715,22988.746849999276,22406.30950000149,13138.792550000195,46104.459999993654,152754.2013320197,122519.3990891354,324478.8060711449
2040,'M1',0.5,14322.86124999826,43373.2004999973,34839.11549999735,9028.63799999981,79056.58974999434,14386.153999998205,12596.868999999337,52464.28049999405,26934.192499997553,24798.366249998195,23238.572249999044,25822.133999998423,13669.76649999982,46095.93424999368,188580.47474999036,136734.17924998575,374530.7400000472
2040,'M1',0.1,14114.868649998265,4206.469137003362,18421.1364060047,6092.999641787638,35001.80611553754,13614.486199999608,4438.77264031553,33601.394953131035,20351.381884766808,10024.355909124237,16359.89563380331,3532.170738087824,6794.633573001118,43748.44774999573,88905.06628170279,50972.97168195426,186554.37148245206
2050,'M1',0.2,14724.862499998098,3333.0092506377773,29808.88503778905,8566.471007914544,42828.6100657179,14379.2899999982,9429.806069352831,42434.754303679925,26077.089903769483,20447.88573467193,22047.854513115213,10526.155087338986,11140.808108143441,47062.817749993264,114620.96565174483,90932.23429282338,255745.4815820725
2050,'M1',1.0,14774.137249998084,43507.97949999723,34902.674499997345,9136.423999999783,79484.7167499943,14396.536749998202,12847.836499999254,54175.606999993404,27083.175249997475,26343.262749997866,23395.88699999896,25840.85974999842,13705.147999999816,47116.34324999327,190875.07874999035,138448.01749998517,379594.24500004447
2050,'M1',0.1,13482.44375384063,817.2699068438532,4424.759833610462,710.6736884457175,14158.103767500776,10785.52667641707,921.7784498287386,18873.756085141125,10939.67310578039,1941.8506027420406,5770.751727541226,787.1790883877396,779.8168461540585,34924.69056433282,34665.95209475035,12243.704926290136,84393.58353229062
2050,'M1',0.5,14744.3179999981,43602.42124999723,34917.81924999734,9101.825999999788,79393.29524999432,14389.291999998206,12885.487749999253,54231.749999993386,27089.381499997486,26282.325749997883,23372.952499998963,25844.96624999842,13676.845499999821,47091.846499993284,190997.78274999038,138288.24624998518,379532.68100004405
