'tenhxa, dt_luc,dt_luk,dt_lua_tom,dt_tsl,dt_bhk,dt_lnk,dt_khac'
tenhxa, dt_luc,dt_luk,dt_lua_tom,dt_tsl,dt_bhk,dt_lnk,dt_khac
TT. My Xuyen,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Thanh Quoi,0.0,0.0,254.0,0.0,0.0,0.0,0.0
Thanh Phu,0.0,0.0,372.0,0.0,0.0,0.0,0.0
Dai Tam,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ngoc To,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Ngoc Dong,0.0,0.0,72.0,0.0,0.0,0.0,0.0
Hoa Tu 1,0.0,0.0,574.0,0.0,0.0,0.0,0.0
Hoa Tu 2,0.0,0.0,33.0,0.0,0.0,0.0,0.0
Gia Hoa 1,0.0,0.0,364.0,0.0,0.0,0.0,0.0
Gia Hoa 2,0.0,0.0,398.0,0.0,0.0,0.0,0.0
Tham Don,0.0,0.0,224.0,0.0,0.0,0.0,0.0
