cycle + 2015,tong_luc,tong_luk,tong_lua_tom,tong_tsl,tong_bhk,tong_lnk,proportion_agrofarmers_adapted,proportion_aquafarmers_adapted,dt_tsl_risk,dt_lua_caqrisk,budget_supported
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0
2025,630625.0,697550.0,55250.0,724300.0,263450.0,614300.0,0.6,0.6,317000.0,118950.0,0.0
2035,518375.0,673225.0,23175.0,756700.0,299025.0,710475.0,0.6,0.6,373875.0,96525.0,0.0
2045,440675.0,646950.0,13425.0,761850.0,318550.0,786175.0,0.6,0.6,379275.0,77175.0,0.0
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0
2025,633250.0,695450.0,55250.0,723250.0,262700.0,613450.0,0.6,0.6,321825.0,119825.0,0.0
2035,522025.0,670675.0,23075.0,758025.0,295200.0,712350.0,0.6,0.6,369825.0,96325.0,0.0
2045,454175.0,641200.0,13425.0,767275.0,316375.0,784100.0,0.6,0.6,379650.0,78275.0,0.0
